0
the
to
i
me
from
of
my
on
could
hear
signs
calling
out
bottom
fire
am
like
a
torch
flickering
in
wind
as
saying
goes
lost
all
precious
rage
ate
up
endless
forlornness
has
made
numb
i'd
rather
rise
here
or
should
hold
past
they've
burnt
ashes
faded
grey
returned
earth
yes
it's
meant
be
uncertain
flame
hope
found
will
you
lead
back
right
track
