DATE,tas,tasmin,tasmax,pr
1970-01-01,19.04820000000001,11.344100000000026,27.411800000000028,0.30672
1970-01-02,20.265700000000038,13.322400000000016,29.55200000000002,0.21167999999999998
1970-01-03,20.18900000000002,12.998800000000017,30.274699999999996,0.241056
1970-01-04,19.28460000000001,12.18440000000004,27.47980000000001,0.454464
1970-01-05,18.656600000000026,11.410200000000032,28.91790000000003,0.12096
1970-01-06,19.158900000000017,12.359100000000012,29.309000000000026,0.0
1970-01-07,20.130899999999997,12.517100000000028,30.40650000000005,0.0
1970-01-08,20.79740000000004,12.08910000000003,32.14510000000001,0.0
1970-01-09,20.98720000000003,12.215700000000027,32.07760000000002,0.0
1970-01-10,19.679900000000032,12.109700000000032,29.704700000000003,0.188352
1970-01-11,17.840599999999995,11.09620000000001,25.414300000000026,0.424224
1970-01-12,17.591499999999996,11.055100000000039,26.411800000000028,0.398304
1970-01-13,18.200900000000047,12.413000000000011,25.643700000000024,0.458784
1970-01-14,16.762200000000007,11.198300000000017,24.68380000000002,0.578016
1970-01-15,18.67530000000005,11.400300000000016,26.566300000000012,0.6704640000000001
1970-01-16,18.602700000000027,10.973600000000033,28.127300000000048,0.330912
1970-01-17,17.935600000000022,9.765500000000031,28.308600000000013,0.005183999999999999
1970-01-18,18.49970000000002,10.048800000000028,28.54740000000004,0.006912
1970-01-19,18.744000000000028,11.568100000000015,28.53140000000002,0.597888
1970-01-20,18.868300000000033,11.45640000000003,28.666500000000042,0.007776
1970-01-21,19.009500000000003,11.020000000000039,29.721400000000017,0.0
1970-01-22,19.526900000000012,10.172799999999995,31.68780000000004,0.0
1970-01-23,19.380700000000047,9.362600000000043,32.214200000000005,0.0
1970-01-24,19.593200000000024,8.881400000000042,33.03810000000004,0.0
1970-01-25,19.4024,9.24010000000004,33.16750000000002,0.0
1970-01-26,19.12620000000004,9.860400000000027,31.48430000000002,0.0
1970-01-27,17.384600000000034,10.60170000000005,27.684200000000033,0.059615999999999995
1970-01-28,17.56450000000001,10.657600000000002,27.818300000000022,0.000864
1970-01-29,19.406800000000032,11.261600000000044,30.26890000000003,0.0
1970-01-30,20.203100000000006,12.001700000000028,31.742500000000007,0.0
1970-01-31,20.831500000000005,12.42840000000001,32.31460000000004,0.0
1970-02-01,20.037000000000035,10.72950000000003,30.795600000000036,0.0
1970-02-02,19.386000000000024,11.449700000000007,29.582100000000025,0.001728
1970-02-03,21.11170000000004,13.704700000000003,28.93180000000001,0.257472
1970-02-04,21.113200000000006,13.278700000000015,29.251300000000015,0.578016
1970-02-05,22.168499999999995,13.983100000000036,32.17230000000001,0.041471999999999995
1970-02-06,23.04230000000001,16.186200000000042,31.59910000000002,0.63936
1970-02-07,20.924000000000035,17.334100000000035,27.573300000000017,0.8804160000000001
1970-02-08,20.10990000000004,14.998400000000004,25.687700000000007,4.882464
1970-02-09,18.14730000000003,9.471300000000042,29.31570000000005,1.143072
1970-02-10,19.526400000000024,10.377499999999998,30.697100000000034,0.006912
1970-02-11,19.0591,9.624300000000005,30.221300000000042,0.000864
1970-02-12,18.659700000000043,9.812600000000032,28.88470000000001,0.001728
1970-02-13,17.786900000000003,9.778700000000015,28.775500000000022,0.000864
1970-02-14,18.886500000000012,9.39530000000002,30.20060000000001,0.0
1970-02-15,18.584400000000016,9.493899999999996,29.016500000000008,0.006912
1970-02-16,19.328700000000026,10.241700000000037,30.693900000000042,0.0
1970-02-17,20.006200000000035,10.736500000000035,31.70890000000003,0.0
1970-02-18,20.758100000000013,10.373500000000035,32.752700000000004,0.0
1970-02-19,21.334600000000023,11.193399999999997,33.211100000000044,0.0
1970-02-20,21.248100000000022,12.555499999999995,32.27290000000005,0.0
1970-02-21,21.61990000000003,13.912599999999998,32.09070000000003,0.000864
1970-02-22,22.506700000000023,15.043300000000045,32.84730000000002,0.039744
1970-02-23,21.93180000000001,14.807500000000005,31.558500000000038,0.31104
1970-02-24,21.6669,13.972800000000007,31.36850000000004,0.255744
1970-02-25,20.9418,15.43180000000001,30.3408,0.69984
1970-02-26,21.715400000000045,14.986800000000017,31.087199999999996,0.6955199999999999
1970-02-27,22.44470000000001,14.157700000000034,33.4418,0.028512000000000003
1970-02-28,22.41130000000004,15.600500000000011,32.06550000000004,0.15984
1970-03-01,20.93330000000003,17.086600000000033,29.5385,3.079296
1970-03-02,20.461100000000044,14.533100000000047,28.059200000000033,1.5448320000000002
1970-03-03,21.4409,14.536000000000001,30.203100000000006,0.973728
1970-03-04,22.57510000000002,13.908200000000022,32.49400000000003,0.115776
1970-03-05,23.138400000000047,12.921199999999999,34.31660000000005,0.0
1970-03-06,23.08540000000005,14.184200000000033,34.18610000000001,0.0
1970-03-07,23.075300000000027,14.799800000000005,33.2971,0.02592
1970-03-08,23.064400000000035,14.123800000000017,34.05290000000002,0.00432
1970-03-09,22.998800000000017,13.314300000000003,34.303300000000036,0.0025919999999999997
1970-03-10,23.17100000000005,13.95980000000003,34.39050000000003,0.0
1970-03-11,23.32990000000001,14.414700000000039,34.58230000000003,0.0
1970-03-12,23.84450000000004,14.291899999999998,35.34140000000002,0.0
1970-03-13,24.3048,14.727599999999995,35.82340000000005,0.0
1970-03-14,24.745100000000036,14.168800000000033,36.85450000000003,0.0
1970-03-15,23.85310000000004,12.908600000000035,36.47500000000002,0.0
1970-03-16,23.3639,12.426800000000014,36.370900000000006,0.0
1970-03-17,23.648000000000025,13.111000000000047,36.29590000000002,0.0
1970-03-18,23.328100000000006,16.578300000000013,34.01840000000004,0.20131200000000002
