DATE,tas,tasmin,tasmax,pr
2006-01-01,20.831800000000044,16.456800000000044,28.313000000000045,0.24192
2006-01-02,21.13160000000005,16.705700000000036,26.886000000000024,3.05856
2006-01-03,18.61790000000002,16.38390000000004,20.699900000000014,7.690464
2006-01-04,17.2149,13.727100000000007,21.898900000000026,0.741312
2006-01-05,16.842399999999998,12.415200000000027,23.81080000000003,1.029024
2006-01-06,16.9803,13.748700000000042,22.329600000000028,1.290816
2006-01-07,18.418800000000033,13.99980000000005,25.5591,0.212544
2006-01-08,18.37790000000001,14.327400000000011,24.954700000000003,0.344736
2006-01-09,16.02430000000004,11.788000000000011,22.119600000000048,0.180576
2006-01-10,15.79000000000002,10.258000000000038,23.79110000000003,0.21340800000000001
2006-01-11,16.342200000000048,10.91640000000001,25.036,0.006048
2006-01-12,16.025300000000016,9.958700000000022,25.116900000000044,0.016416
2006-01-13,15.43380000000002,9.86650000000003,23.693200000000047,0.006048
2006-01-14,16.278500000000008,10.527000000000044,23.87620000000004,0.12700799999999998
2006-01-15,16.09250000000003,10.214600000000019,24.998100000000022,0.001728
2006-01-16,17.69100000000003,10.26520000000005,27.40500000000003,0.033696000000000004
2006-01-17,17.917700000000025,11.553600000000017,25.630200000000002,0.717984
2006-01-18,15.817800000000034,11.30030000000005,22.589400000000012,0.166752
2006-01-19,16.85740000000004,11.45350000000002,25.894200000000012,0.09072
2006-01-20,17.780100000000004,12.184600000000046,26.610900000000015,0.25488
2006-01-21,19.20160000000004,12.24630000000002,28.733900000000006,0.069984
2006-01-22,18.938800000000015,10.423400000000015,29.53770000000003,0.000864
2006-01-23,19.487099999999998,10.701000000000022,29.113500000000045,0.027648
2006-01-24,17.712900000000047,11.8827,25.808600000000013,1.465344
2006-01-25,18.57230000000004,12.289500000000032,28.06880000000001,0.208224
2006-01-26,16.858600000000024,12.498900000000049,24.979900000000043,0.333504
2006-01-27,16.45270000000005,11.508399999999995,25.318100000000015,0.19267199999999998
2006-01-28,17.316700000000026,11.227900000000034,27.240499999999997,0.048384
2006-01-29,18.4923,11.646800000000042,28.82940000000002,0.035424
2006-01-30,19.273600000000044,12.287200000000041,29.9015,0.009504
2006-01-31,20.334100000000035,11.45640000000003,30.780200000000036,0.048384
2006-02-01,19.855600000000038,11.481700000000046,30.9692,0.0
2006-02-02,19.75630000000001,10.882900000000006,32.43000000000001,0.0
2006-02-03,19.710500000000025,10.500300000000038,32.43700000000001,0.0
2006-02-04,19.65930000000003,10.201300000000003,32.946799999999996,0.0
2006-02-05,19.577500000000043,10.225300000000004,32.582100000000025,0.0
2006-02-06,20.578900000000033,10.938199999999995,31.74770000000001,0.14860800000000002
2006-02-07,18.434799999999996,15.487700000000018,23.586900000000014,3.4706880000000004
2006-02-08,18.265300000000025,15.272199999999998,23.92530000000005,4.4729280000000005
2006-02-09,17.851300000000037,11.302400000000034,25.495400000000018,0.857088
2006-02-10,16.190500000000043,10.612000000000023,24.846400000000017,0.300672
2006-02-11,18.492200000000025,11.573900000000037,28.01090000000005,0.022464
2006-02-12,18.684900000000027,10.015800000000013,28.643200000000036,0.06048
2006-02-13,18.366100000000017,10.485900000000015,28.61070000000001,0.0
2006-02-14,19.099400000000003,12.25,28.863200000000006,0.018144
2006-02-15,18.523600000000044,12.168700000000001,28.19840000000005,0.053568
2006-02-16,18.749400000000037,13.186900000000037,28.45500000000004,0.166752
2006-02-17,21.036200000000008,12.576200000000028,31.76490000000001,0.065664
2006-02-18,19.148300000000006,12.54480000000001,29.03520000000003,0.005183999999999999
2006-02-19,21.148400000000038,13.099100000000021,31.549900000000036,0.0
2006-02-20,21.42760000000004,14.057900000000018,32.219600000000014,0.0
2006-02-21,19.874000000000024,14.139800000000037,30.16300000000001,0.005183999999999999
2006-02-22,21.45930000000004,14.588300000000004,30.173500000000047,0.549504
2006-02-23,21.66990000000004,13.70210000000003,31.899200000000008,0.521856
2006-02-24,20.64300000000003,14.275500000000022,29.885000000000048,0.411264
2006-02-25,20.61250000000001,15.612400000000036,29.056100000000015,0.320544
2006-02-26,20.38250000000005,14.696200000000033,28.848299999999995,0.8052480000000001
2006-02-27,22.188199999999995,14.103800000000035,32.6096,0.058752
2006-02-28,23.017100000000028,14.576300000000003,33.68240000000003,0.0
2006-03-01,23.23180000000002,15.182200000000023,33.53490000000005,0.016416
2006-03-02,23.151400000000024,15.508600000000001,33.3614,0.266112
2006-03-03,22.036,16.72030000000001,30.447699999999998,0.35856
2006-03-04,21.858600000000024,18.579600000000028,28.802700000000016,1.1422080000000001
2006-03-05,21.86310000000003,19.570600000000013,27.08370000000002,6.7824
2006-03-06,21.0077,18.911900000000003,25.976,5.695488
2006-03-07,20.550400000000025,18.29200000000003,24.49430000000001,1.996704
2006-03-08,22.101500000000044,16.527600000000007,30.67440000000005,0.40262400000000004
2006-03-09,23.394000000000005,16.0068,32.99010000000004,0.22809600000000002
2006-03-10,23.498700000000042,16.966000000000008,33.0188,0.249696
2006-03-11,23.947699999999998,16.789500000000032,32.48000000000002,0.897696
2006-03-12,23.4366,16.350600000000043,33.1696,0.6808320000000001
2006-03-13,23.566200000000038,15.505300000000034,32.59970000000004,0.648
2006-03-14,23.676500000000033,16.001100000000008,33.27630000000005,0.893376
2006-03-15,20.331000000000017,17.334500000000048,24.790700000000015,4.326048
2006-03-16,18.73950000000002,16.477700000000027,20.751400000000046,4.580928
2006-03-17,20.099500000000035,16.384299999999996,26.58960000000002,0.616896
2006-03-18,19.60740000000004,16.959500000000048,23.461400000000026,1.367712
